project,STYLE,TOTAL_EXPERIMENTAL,TOTAL_INPUT_VALIDATION_BUGS,TOTAL_CORRECTNESS,TOTAL_SECURITY_REST,TOTAL_BAD_PRACTICE,TOTAL_I18N,CORRECTNESS,SECURITY_REST,TOTAL_PERFORMANCE,MALICIOUS_CODE,BAD_PRACTICE,TOTAL_MALICIOUS_CODE,MT_CORRECTNESS,I18N,PERFORMANCE,TOTAL_STYLE,TOTAL_MT_CORRECTNESS,INPUT_VALIDATION_BUGS,EXPERIMENTAL
org.codehaus.fabric3||fabric3-jmx,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,2,NA,NA,1,NA,NA,NA,NA
com.legsem.legstar||legstar-cob2trans,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,3,NA,NA,NA
org.apache.maven.continuum||continuum-store,NA,NA,NA,21,NA,NA,NA,5,NA,77,NA,NA,NA,NA,NA,15,NA,NA,NA,NA
ant||ant-optional,48,16,NA,93,NA,398,224,25,NA,197,16,90,55,2,41,50,200,6,NA,4
jetty||org.mortbay.j2ee,6,NA,NA,2,NA,20,NA,1,NA,4,11,10,22,NA,NA,2,12,NA,NA,NA
ru.circumflex||maven-cx-plugin,5,NA,NA,42,NA,NA,4,4,NA,8,NA,NA,NA,NA,1,2,52,NA,NA,NA
net.sourceforge.dynamicreports||dynamicreports-core,4,3,NA,31,NA,176,NA,4,NA,190,2,15,5,NA,NA,28,43,NA,NA,1
org.codehaus.grepo||grepo-statistics,2,NA,NA,NA,NA,8,NA,NA,NA,1,NA,2,NA,NA,NA,1,2,NA,NA,NA
org.apache.maven.archiva||archiva-transaction,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
net.sourceforge.openutils||openutils-mgnlstruts11,2,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,15,NA,NA,2,7,NA,NA,NA
org.apache.felix.karaf.shell||org.apache.felix.karaf.shell.obr,1,4,NA,2,NA,4,NA,1,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,2
org.apache.maven.archiva||archiva-repository-layer,7,NA,NA,260,NA,10,13,70,NA,14,NA,2,NA,2,2,6,29,10,NA,NA
org.linkedin||org.linkedin.glu.provisioner-core,9,NA,NA,24,NA,19,NA,4,NA,NA,1,4,6,NA,NA,NA,49,NA,NA,NA
fr.inria.gforge.spoon||spoon-core,25,6,NA,42,NA,144,50,7,NA,96,13,28,72,NA,8,16,114,NA,NA,1
net.sf||stat-scm,3,NA,NA,3,NA,3,3,1,NA,NA,1,1,2,NA,1,NA,5,NA,NA,NA
org.springframework.webflow||org.springframework.webflow,1,NA,NA,12,NA,19,NA,1,NA,7,6,4,36,1,NA,2,6,2,NA,NA
org.apache.openejb||openejb-tomcat,2,NA,NA,2,NA,NA,2,2,NA,NA,1,NA,1,NA,2,NA,2,NA,NA,NA
se.vgregion.commons-util||commons-util-core-bc-composite-svc-pivotaltracker,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA
org.codehaus.fabric3||fabric3-async-runtime,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
com.madgag||mini-git-server-util-ssl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.fusesource.jvmassert||jvmassert,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA
net.liftweb||lift-webkit_2.9.0-1,306,3,NA,33,NA,762,6,11,NA,6,8,254,24,63,2,2,899,189,NA,1
org.apache.chemistry.opencmis||chemistry-opencmis-server-support,236,NA,NA,33,NA,NA,NA,9,NA,44,8,NA,30,NA,NA,13,844,NA,NA,NA
org.mule.tools||mule-test-exclusions-report-plugin,NA,2,NA,6,NA,2,5,6,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1
org.apache.directory.shared||shared-ldif,3,NA,NA,4,NA,2,8,2,NA,2,NA,1,NA,NA,2,1,5,NA,NA,NA
org.jomc||jomc-api,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.jvnet.hudson.plugins||jswidgets,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.codehaus.service-conduit||sca4j-util,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
me.prettyprint||hector-core,8,24,NA,87,NA,114,55,14,NA,95,28,21,241,NA,5,13,67,NA,NA,3
org.jibx.schema.org.w3||org.jibx.schema.org.w3._2001._12.soap_envelope,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.codehaus.fabric3||fabric3-ant-api,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
com.googlecode.flyway||flyway-maven-plugin,5,NA,NA,42,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA
org.codehaus.plexus||plexus-quartz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.apache.maven.indexer||indexer-core,89,7,NA,12,NA,291,37,6,NA,44,81,145,104,39,22,41,93,41,NA,5
org.apache.directory.server||apacheds-service-builder,2,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
com.cedarsoft.commons||mail,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
com.google.android.tools||ddmlib,16,NA,NA,2,NA,23,9,2,NA,8,10,22,10,6,9,7,16,6,NA,NA
org.freemarker||freemarker,39,10,NA,56,NA,891,72,14,NA,124,6,90,57,13,6,26,311,122,NA,1
com.dhemery.runtime-suite||classpath.b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
com.dhemery.runtime-suite||classpath.d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
net.sf.patterntesting||patterntesting-samples,1,NA,NA,NA,NA,6,NA,NA,NA,NA,3,2,9,2,NA,NA,3,6,NA,NA
commons-jelly||commons-jelly-tags-jetty,2,NA,NA,NA,NA,4,4,NA,NA,NA,NA,1,NA,NA,1,NA,8,NA,NA,NA
org.jvnet.ogc||ic-v_2_0-schema,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.codehaus.plexus.webdav||plexus-webdav-test,NA,NA,NA,NA,NA,6,NA,NA,NA,6,NA,1,NA,NA,NA,1,NA,NA,NA,NA
org.codehaus.sonar-ide.eclipse||org.sonar.ide.eclipse,5,NA,NA,2,NA,NA,1,1,NA,13,2,NA,4,1,1,12,10,1,NA,NA
avalon-phoenix||avalon-phoenix-client,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,13,2,26,NA,NA,NA,NA,NA,NA,NA
org.ow2.easybeans.extensions||easybeans-cxf-example,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.apache.shiro.samples||samples-quickstart,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
