project,version,jarsize,INPUT_VALIDATION_BUGS,SECURITY_REST,MALICIOUS_CODE,STYLE,CORRECTNESS,BAD_PRACTICE,MT_CORRECTNESS,I18N,PERFORMANCE,EXPERIMENTAL
net.liftweb||lift-xmpp_2.9.0-1,1,694018,NA,NA,2,12,3,10,4,NA,NA,NA
net.liftweb||lift-xmpp_2.9.0-1,2,176325,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
net.liftweb||lift-xmpp_2.9.0-1,3,176325,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
org.apache.openejb||openejb-webadmin,0,138715,NA,NA,3,7,3,2,NA,8,5,1
org.apache.openejb||openejb-webadmin,0,138713,NA,NA,3,7,3,2,NA,8,5,1
org.apache.openejb||openejb-webadmin,2,138513,NA,NA,3,7,3,2,NA,8,5,1
org.apache.openejb||openejb-webadmin,3,138513,NA,NA,3,7,3,2,NA,8,5,1
org.apache.openejb||openejb-webadmin,4,138513,NA,NA,3,7,3,2,NA,8,5,1
org.apache.openejb||openejb-webadmin,5,138513,NA,NA,3,7,3,2,NA,8,5,1
org.apache.openejb||openejb-webadmin,6,138507,NA,NA,3,7,3,2,NA,8,5,1
org.apache.openejb||openejb-webadmin,9,138724,NA,NA,3,7,3,2,NA,8,5,1
org.apache.openejb||openejb-webadmin,10,138724,NA,NA,3,7,3,2,NA,8,5,1
org.apache.openejb||openejb-webadmin,11,138975,NA,NA,3,7,3,2,NA,8,5,1
org.apache.openejb||openejb-webadmin,11,138975,NA,NA,3,7,3,2,NA,8,5,1
org.apache.felix.karaf.shell||org.apache.felix.karaf.shell.console,1,259741,NA,NA,20,16,1,7,3,8,7,3
org.apache.felix.karaf.shell||org.apache.felix.karaf.shell.console,2,285991,NA,NA,20,11,NA,8,3,12,7,3
org.apache.felix.karaf.shell||org.apache.felix.karaf.shell.console,3,288330,NA,NA,21,12,NA,7,3,12,7,3
org.apache.felix.karaf.shell||org.apache.felix.karaf.shell.console,4,290240,NA,NA,21,12,NA,7,2,12,7,3
org.apache.servicemix.bundles||org.apache.servicemix.bundles.jaxb-xjc,1,5978036,NA,NA,39,273,8,325,7,24,51,3
org.apache.servicemix.bundles||org.apache.servicemix.bundles.jaxb-xjc,2,5978036,NA,NA,39,273,8,325,7,24,51,3
org.apache.servicemix.bundles||org.apache.servicemix.bundles.jaxb-xjc,3,5999520,NA,NA,39,273,8,297,7,24,51,3
org.apache.servicemix.bundles||org.apache.servicemix.bundles.jaxb-xjc,4,5999520,NA,NA,39,273,8,297,7,24,51,3
net.sourceforge.jcalendarbutton||jcalendarbutton,1,35641,NA,NA,9,NA,NA,4,NA,NA,NA,NA
net.sourceforge.jcalendarbutton||jcalendarbutton,2,35017,NA,NA,9,NA,NA,4,NA,NA,NA,NA
net.sourceforge.jcalendarbutton||jcalendarbutton,3,35213,NA,NA,9,NA,NA,4,NA,NA,NA,NA
net.sourceforge.jcalendarbutton||jcalendarbutton,4,35736,NA,NA,9,NA,NA,4,NA,NA,NA,NA
mockobjects||mockobjects-jdk1.4,0,128006,NA,NA,3,NA,32,1,NA,1,2,NA
mockobjects||mockobjects-jdk1.4,1,106806,NA,NA,5,NA,32,1,NA,1,2,NA
mockobjects||mockobjects-jdk1.4,2,132831,NA,NA,1,NA,32,1,NA,1,1,NA
lucene||lucene,1,222801,NA,NA,17,15,5,38,2,1,8,NA
lucene||lucene,2,449961,NA,NA,29,24,1,52,4,2,11,NA
lucene||lucene,3,409189,NA,NA,26,24,1,55,2,1,10,NA
lucene||lucene,4,599695,NA,NA,31,28,2,54,4,2,14,NA
lucene||lucene,5,602503,NA,NA,31,28,2,54,4,2,13,NA
lucene||lucene,6,603393,NA,NA,31,28,2,54,4,2,13,NA
com.yesmail||gwt-rolodex,0,41757,NA,NA,1,5,NA,NA,NA,NA,NA,NA
org.springframework||spring-test,1,342446,NA,NA,6,4,NA,2,NA,8,4,NA
org.springframework||spring-test,2,342726,NA,NA,6,4,NA,2,NA,8,4,NA
org.springframework||spring-test,3,344344,NA,NA,6,4,NA,2,NA,6,4,NA
org.springframework||spring-test,4,346733,NA,NA,6,4,NA,2,1,6,4,NA
org.springframework||spring-test,5,348590,NA,NA,6,4,NA,NA,1,6,4,NA
org.springframework||spring-test,6,349841,NA,NA,6,4,NA,NA,1,6,4,NA
org.springframework||spring-test,7,352273,NA,NA,6,4,NA,NA,1,6,4,NA
org.springframework||spring-test,8,352273,NA,NA,6,4,NA,NA,1,6,4,NA
org.springframework||spring-test,9,352273,NA,NA,6,4,NA,NA,1,6,4,NA
org.springframework||spring-test,11,407524,NA,NA,6,4,NA,NA,1,6,4,NA
org.springframework||spring-test,12,407524,NA,NA,6,4,NA,NA,1,6,4,NA
org.springframework||spring-test,13,408261,NA,NA,6,4,NA,NA,1,6,4,NA
org.springframework||spring-test,14,408947,NA,NA,6,4,NA,NA,1,6,4,NA
org.springframework||spring-test,15,408887,NA,NA,6,4,NA,NA,1,6,4,NA
org.springframework||spring-test,16,409141,NA,NA,6,4,NA,NA,1,6,4,NA
org.eclipse.wst.server.http||core,0,38106,NA,NA,5,3,NA,NA,1,NA,NA,NA
org.eclipse.jdt.apt.pluggable||core,0,30016,NA,NA,1,1,NA,NA,NA,NA,NA,NA
org.springframework||spring-hibernate3,0,222528,NA,NA,11,1,NA,NA,NA,2,NA,NA
org.springframework||spring-hibernate3,0,222726,NA,NA,11,1,NA,NA,NA,2,NA,NA
org.springframework||spring-hibernate3,0,213140,NA,NA,10,1,NA,NA,NA,NA,NA,NA
org.springframework||spring-hibernate3,0,222869,NA,NA,11,1,NA,NA,NA,2,NA,NA
org.springframework||spring-hibernate3,0,222994,NA,NA,11,1,NA,NA,NA,2,NA,NA
org.springframework||spring-hibernate3,0,222629,NA,NA,11,1,NA,NA,NA,2,NA,NA
org.springframework||spring-hibernate3,0,222835,NA,NA,11,1,NA,NA,NA,2,NA,NA
org.springframework||spring-hibernate3,1,215140,NA,NA,11,1,NA,NA,NA,2,NA,NA
org.springframework||spring-hibernate3,2,215536,NA,NA,11,1,NA,NA,NA,2,NA,NA
org.springframework||spring-hibernate3,3,215815,NA,NA,11,1,NA,NA,NA,2,NA,NA
org.springframework||spring-hibernate3,4,217890,NA,NA,11,1,NA,NA,NA,2,NA,NA
org.springframework||spring-hibernate3,5,218046,NA,NA,11,1,NA,NA,NA,2,NA,NA
org.springframework||spring-hibernate3,6,218046,NA,NA,11,1,NA,NA,NA,2,NA,NA
org.springframework||spring-hibernate3,7,218046,NA,NA,11,1,NA,NA,NA,2,NA,NA
org.springframework||spring-hibernate3,8,218810,NA,NA,11,1,NA,NA,NA,2,NA,NA
org.springframework||spring-hibernate3,9,218810,NA,NA,11,1,NA,NA,NA,2,NA,NA
org.springframework||spring-hibernate2,0,184760,NA,NA,3,1,NA,NA,NA,2,NA,NA
org.springframework||spring-hibernate2,0,179842,NA,NA,3,1,NA,NA,NA,NA,NA,NA
org.springframework||spring-hibernate2,0,184659,NA,NA,3,1,NA,NA,NA,2,NA,NA
org.springframework||spring-hibernate2,0,184507,NA,NA,3,1,NA,NA,NA,2,NA,NA
org.springframework||spring-hibernate2,0,184925,NA,NA,3,1,NA,NA,NA,2,NA,NA
org.springframework||spring-hibernate2,0,184925,NA,NA,3,1,NA,NA,NA,2,NA,NA
org.springframework||spring-hibernate2,0,185149,NA,NA,3,1,NA,NA,NA,2,NA,NA
org.springframework||spring-hibernate2,1,173412,NA,NA,3,1,NA,NA,NA,2,NA,NA
org.springframework||spring-hibernate2,2,173519,NA,NA,3,1,NA,NA,NA,2,NA,NA
org.springframework||spring-hibernate2,3,173519,NA,NA,3,1,NA,NA,NA,2,NA,NA
org.springframework||spring-hibernate2,4,173534,NA,NA,3,1,NA,NA,2,2,NA,NA
org.springframework||spring-hibernate2,5,173705,NA,NA,3,1,NA,NA,2,2,NA,NA
org.springframework||spring-hibernate2,6,173705,NA,NA,3,1,NA,NA,2,2,NA,NA
org.springframework||spring-hibernate2,7,173705,NA,NA,3,1,NA,NA,2,2,NA,NA
org.springframework||spring-hibernate2,8,173716,NA,NA,3,1,NA,NA,2,2,NA,NA
org.springframework||spring-hibernate2,9,173716,NA,NA,3,1,NA,NA,2,2,NA,NA
org.objectweb.fractal.fractaljmx||fractal-jmx,1,64475,NA,NA,2,4,NA,NA,2,NA,15,NA
org.objectweb.fractal.fractaljmx||fractal-jmx,2,66499,NA,NA,2,4,NA,NA,2,NA,7,NA
org.objectweb.fractal.fractaljmx||fractal-jmx,3,52714,NA,NA,2,4,NA,NA,NA,NA,5,NA
org.objectweb.fractal.fractaljmx||fractal-jmx,4,55364,NA,NA,2,4,NA,NA,NA,NA,5,NA
org.apache.hadoop||hadoop-core,1,5440933,NA,2,71,61,6,99,55,63,8,7
org.apache.hadoop||hadoop-core,2,6965641,NA,2,98,88,14,108,85,91,16,6
